"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1505","Go home page KO for Locale DE in int Einvironment and Realm europe","Chrome","Mon Sep 16 18:58:17 UTC 2024","passed","Mon Sep 16 18:58:18 UTC 2024","","homeNP.spec.js","",""
"","380","Testvars for Locale JP in int Einvironment and Realm asia","Chrome","Mon Sep 16 18:58:04 UTC 2024","failed","Mon Sep 16 18:58:04 UTC 2024","","variables.spec.js","",""
"","363","Test failed results for Locale NZ in int Einvironment and Realm asia","Chrome","Mon Sep 16 18:58:07 UTC 2024","failed","Mon Sep 16 18:58:07 UTC 2024","","failedTest.spec.js","",""
"","359","Test failed results for Locale US in int Einvironment and Realm america","Chrome","Mon Sep 16 18:58:02 UTC 2024","failed","Mon Sep 16 18:58:02 UTC 2024","","failedTest.spec.js","",""
"","371","Test failed results for Locale CA in int Einvironment and Realm america","Chrome","Mon Sep 16 18:58:03 UTC 2024","failed","Mon Sep 16 18:58:04 UTC 2024","","failedTest.spec.js","",""
"","346","Test failed results for Locale DE in int Einvironment and Realm europe","Chrome","Mon Sep 16 18:58:00 UTC 2024","failed","Mon Sep 16 18:58:00 UTC 2024","","failedTest.spec.js","",""
"","360","Test failed results for Locale DE in dev Einvironment and Realm europe","Chrome","Mon Sep 16 18:58:10 UTC 2024","failed","Mon Sep 16 18:58:10 UTC 2024","","failedTest.spec.js","",""
"","375","Testvars for Locale NZ in int Einvironment and Realm asia","Chrome","Mon Sep 16 18:58:06 UTC 2024","failed","Mon Sep 16 18:58:06 UTC 2024","","variables.spec.js","",""
"","351","Test failed results for Locale JP in dev Einvironment and Realm asia","Chrome","Mon Sep 16 18:58:15 UTC 2024","failed","Mon Sep 16 18:58:15 UTC 2024","","failedTest.spec.js","",""
"","462","Test failed results for Locale GB in int Einvironment and Realm europe","Chrome","Mon Sep 16 18:57:58 UTC 2024","failed","Mon Sep 16 18:57:59 UTC 2024","","failedTest.spec.js","",""
"","1993","Go home page KO for Locale US in dev Einvironment and Realm america","Chrome","Mon Sep 16 18:58:40 UTC 2024","passed","Mon Sep 16 18:58:42 UTC 2024","","homeNP.spec.js","",""
"","1989","Go home page KO for Locale CA in dev Einvironment and Realm america","Chrome","Mon Sep 16 18:58:44 UTC 2024","passed","Mon Sep 16 18:58:46 UTC 2024","","homeNP.spec.js","",""
